Source	OrgProfID	Lat	Long	SoilClass	HzDeIn	HzDeFn	TotFe2O3
RADAM_VOL_26	185	-15.9833	-59.1	Podzólico_Vermelho_Amarelo_Latossólico_ÁLICO_	0	10	
RADAM_VOL_26	188	-15.1	-58.2333	Terra_Roxa_Estruturada_Distrófica	80	120	20.83
RADAM_VOL_26	188	-15.1	-58.2333	Terra_Roxa_Estruturada_Distrófica	0	15	16.48
RADAM_VOL_26	189	-15.1333	-58.0667	Podzólico_Vermelho_Amarelo_Distrófico_Abrúptico_Tb	50	85	
RADAM_VOL_26	189	-15.1333	-58.0667	Podzólico_Vermelho_Amarelo_Distrófico_Abrúptico_Tb	0	10	
RADAM_VOL_26	191	-15.1833	-57.0167	Podzólico_Vermelho_Amarelo_ÁLICO_Plíntico_Tb	80	120	
RADAM_VOL_26	191	-15.1833	-57.0167	Podzólico_Vermelho_Amarelo_ÁLICO_Plíntico_Tb	0	10	
RADAM_VOL_26	194	-15.1833	-58.0833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	80	120	16.16
RADAM_VOL_26	194	-15.1833	-58.0833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	0	10	13.1
RADAM_VOL_26	197	-15.2833	-58.05	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	80	110	12.94
RADAM_VOL_26	197	-15.2833	-58.05	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	0	20	9.46
RADAM_VOL_26	201	-15.3167	-58.1667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	55	100	1.99
RADAM_VOL_26	201	-15.3167	-58.1667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	0	10	1.06
RADAM_VOL_26	202	-15.3333	-57.9833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	45	85	7.71
RADAM_VOL_26	202	-15.3333	-57.9833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb	0	10	4.14
RADAM_VOL_26	205	-15.4833	-57.55	Areia_Quartzosa_álica	60	115	
RADAM_VOL_26	205	-15.4833	-57.55	Areia_Quartzosa_álica	0	10	
RADAM_VOL_26	209	-15.6167	-57.9	Podzólico_Vermelho_Amarelo_Latossólico_Distrófico_	80	120	1.17
RADAM_VOL_26	209	-15.6167	-57.9	Podzólico_Vermelho_Amarelo_Latossólico_Distrófico_	0	15	0.21
RADAM_VOL_26	216	-15.8333	-57.9667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	0	10	
RADAM_VOL_26	216	-15.8333	-57.9667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	80	120	
RADAM_VOL_26	218	-15.8667	-58.45	Brunizém_Avermelhado	80	130	
RADAM_VOL_26	218	-15.8667	-58.45	Brunizém_Avermelhado	0	30	
RADAM_VOL_26	219	-15.8833	-58.2667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	50	90	
RADAM_VOL_26	219	-15.8833	-58.2667	Podzólico_Vermelho_Amarelo_ÁLICO_Tb	0	10	
RADAM_VOL_26	222	-15.9833	-57.5167	Podzólico_Vermelho_Amarelo_Latossólico_ÁLICO_	60	100	2.23
RADAM_VOL_26	222	-15.9833	-57.5167	Podzólico_Vermelho_Amarelo_Latossólico_ÁLICO_	0	10	1.91
RADAM_VOL_26	225	-15.15	-56.7667	Podzólico_Vermelho_Amarelo_Distrófico_Tb	40	60	10.5
RADAM_VOL_26	225	-15.15	-56.7667	Podzólico_Vermelho_Amarelo_Distrófico_Tb	0	15	10.5
RADAM_VOL_26	227	-15.2333	-56.7	Podzólico_Vermelho_Amarelo_ÁLICO_Latossólico	75	110	1.8
RADAM_VOL_26	227	-15.2333	-56.7	Podzólico_Vermelho_Amarelo_ÁLICO_Latossólico	0	20	1.27
